,label,score
0,깨끗하게,1
1,깨끗한,1
2,깨끗하다,2
3,깨끗하고,2
4,깨끗하며,2
5,깨끗하지 않다,-2
6,깨끗하지 않게,-2
7,깨끗하지 않은,-2
8,깨끗하지 않고,-2
9,깨끗하지 않으며,-2
10,깨끗안한,-2
11,훌륭하게,1
12,훌륭한,1
13,훌륭하다,2
14,훌륭하고,2
15,훌륭하며,2
16,훌륭하지 않다,-2
17,훌륭하지 않게,-2
18,훌륭하지 않은,-2
19,훌륭하지 않고,-2
20,훌륭하지 않으며,-2
21,훌륭안한,-2
22,조용하게,1
23,조용한,1
24,조용하다,2
25,조용하고,2
26,조용하며,2
27,조용하지 않다,-2
28,조용하지 않게,-2
29,조용하지 않은,-2
30,조용하지 않고,-2
31,조용하지 않으며,-2
32,조용안한,-2
33,쾌적하게,1
34,쾌적한,1
35,쾌적하다,2
36,쾌적하고,2
37,쾌적하며,2
38,쾌적하지 않다,-2
39,쾌적하지 않게,-2
40,쾌적하지 않은,-2
41,쾌적하지 않고,-2
42,쾌적하지 않으며,-2
43,쾌적안한,-2
44,아늑하게,1
45,아늑한,1
46,아늑하다,2
47,아늑하고,2
48,아늑하며,2
49,아늑하지 않다,-2
50,아늑하지 않게,-2
51,아늑하지 않은,-2
52,아늑하지 않고,-2
53,아늑하지 않으며,-2
54,아늑안한,-2
55,따뜻하게,1
56,따뜻한,1
57,따뜻하다,2
58,따뜻하고,2
59,따뜻하며,2
60,따뜻하지 않다,-2
61,따뜻하지 않게,-2
62,따뜻하지 않은,-2
63,따뜻하지 않고,-2
64,따뜻하지 않으며,-2
65,따뜻안한,-2
66,깔끔하게,1
67,깔끔한,1
68,깔끔하다,2
69,깔끔하고,2
70,깔끔하며,2
71,깔끔하지 않다,-2
72,깔끔하지 않게,-2
73,깔끔하지 않은,-2
74,깔끔하지 않고,-2
75,깔끔하지 않으며,-2
76,깔끔안한,-2
77,정중하게,1
78,정중한,1
79,정중하다,2
80,정중하고,2
81,정중하며,2
82,정중하지 않다,-2
83,정중하지 않게,-2
84,정중하지 않은,-2
85,정중하지 않고,-2
86,정중하지 않으며,-2
87,정중안한,-2
88,세심하게,1
89,세심한,1
90,세심하다,2
91,세심하고,2
92,세심하며,2
93,세심하지 않다,-2
94,세심하지 않게,-2
95,세심하지 않은,-2
96,세심하지 않고,-2
97,세심하지 않으며,-2
98,세심안한,-2
99,충분하게,1
100,충분한,1
101,충분하다,2
102,충분하고,2
103,충분하며,2
104,충분하지 않다,-2
105,충분하지 않게,-2
106,충분하지 않은,-2
107,충분하지 않고,-2
108,충분하지 않으며,-2
109,충분안한,-2
110,명확하게,1
111,명확한,1
112,명확하다,2
113,명확하고,2
114,명확하며,2
115,명확하지 않다,-2
116,명확하지 않게,-2
117,명확하지 않은,-2
118,명확하지 않고,-2
119,명확하지 않으며,-2
120,명확안한,-2
121,불구하게,1
122,불구한,1
123,불구하다,2
124,불구하고,2
125,불구하며,2
126,불구하지 않다,-2
127,불구하지 않게,-2
128,불구하지 않은,-2
129,불구하지 않고,-2
130,불구하지 않으며,-2
131,불구안한,-2
132,저렴하게,1
133,저렴한,1
134,저렴하다,2
135,저렴하고,2
136,저렴하며,2
137,저렴하지 않다,-2
138,저렴하지 않게,-2
139,저렴하지 않은,-2
140,저렴하지 않고,-2
141,저렴하지 않으며,-2
142,저렴안한,-2
143,간단하게,1
144,간단한,1
145,간단하다,2
146,간단하고,2
147,간단하며,2
148,간단하지 않다,-2
149,간단하지 않게,-2
150,간단하지 않은,-2
151,간단하지 않고,-2
152,간단하지 않으며,-2
153,간단안한,-2
154,적당하게,1
155,적당한,1
156,적당하다,2
157,적당하고,2
158,적당하며,2
159,적당하지 않다,-2
160,적당하지 않게,-2
161,적당하지 않은,-2
162,적당하지 않고,-2
163,적당하지 않으며,-2
164,적당안한,-2
165,자세하게,1
166,자세한,1
167,자세하다,2
168,자세하고,2
169,자세하며,2
170,자세하지 않다,-2
171,자세하지 않게,-2
172,자세하지 않은,-2
173,자세하지 않고,-2
174,자세하지 않으며,-2
175,자세안한,-2
176,넉넉하게,1
177,넉넉한,1
178,넉넉하다,2
179,넉넉하고,2
180,넉넉하며,2
181,넉넉하지 않다,-2
182,넉넉하지 않게,-2
183,넉넉하지 않은,-2
184,넉넉하지 않고,-2
185,넉넉하지 않으며,-2
186,넉넉안한,-2
187,번화하게,1
188,번화한,1
189,번화하다,2
190,번화하고,2
191,번화하며,2
192,번화하지 않다,-2
193,번화하지 않게,-2
194,번화하지 않은,-2
195,번화하지 않고,-2
196,번화하지 않으며,-2
197,번화안한,-2
198,익숙하게,1
199,익숙한,1
200,익숙하다,2
201,익숙하고,2
202,익숙하며,2
203,익숙하지 않다,-2
204,익숙하지 않게,-2
205,익숙하지 않은,-2
206,익숙하지 않고,-2
207,익숙하지 않으며,-2
208,익숙안한,-2
209,유연하게,1
210,유연한,1
211,유연하다,2
212,유연하고,2
213,유연하며,2
214,유연하지 않다,-2
215,유연하지 않게,-2
216,유연하지 않은,-2
217,유연하지 않고,-2
218,유연하지 않으며,-2
219,유연안한,-2
220,세련하게,1
221,세련한,1
222,세련하다,2
223,세련하고,2
224,세련하며,2
225,세련하지 않다,-2
226,세련하지 않게,-2
227,세련하지 않은,-2
228,세련하지 않고,-2
229,세련하지 않으며,-2
230,세련안한,-2
231,푹신하게,1
232,푹신한,1
233,푹신하다,2
234,푹신하고,2
235,푹신하며,2
236,푹신하지 않다,-2
237,푹신하지 않게,-2
238,푹신하지 않은,-2
239,푹신하지 않고,-2
240,푹신하지 않으며,-2
241,푹신안한,-2
242,풍부하게,1
243,풍부한,1
244,풍부하다,2
245,풍부하고,2
246,풍부하며,2
247,풍부하지 않다,-2
248,풍부하지 않게,-2
249,풍부하지 않은,-2
250,풍부하지 않고,-2
251,풍부하지 않으며,-2
252,풍부안한,-2
253,맞이하게,1
254,맞이한,1
255,맞이하다,2
256,맞이하고,2
257,맞이하며,2
258,맞이하지 않다,-2
259,맞이하지 않게,-2
260,맞이하지 않은,-2
261,맞이하지 않고,-2
262,맞이하지 않으며,-2
263,맞이안한,-2
264,적절하게,1
265,적절한,1
266,적절하다,2
267,적절하고,2
268,적절하며,2
269,적절하지 않다,-2
270,적절하지 않게,-2
271,적절하지 않은,-2
272,적절하지 않고,-2
273,적절하지 않으며,-2
274,적절안한,-2
275,신선하게,1
276,신선한,1
277,신선하다,2
278,신선하고,2
279,신선하며,2
280,신선하지 않다,-2
281,신선하지 않게,-2
282,신선하지 않은,-2
283,신선하지 않고,-2
284,신선하지 않으며,-2
285,신선안한,-2
286,차분하게,1
287,차분한,1
288,차분하다,2
289,차분하고,2
290,차분하며,2
291,차분하지 않다,-2
292,차분하지 않게,-2
293,차분하지 않은,-2
294,차분하지 않고,-2
295,차분하지 않으며,-2
296,차분안한,-2
297,한적하게,1
298,한적한,1
299,한적하다,2
300,한적하고,2
301,한적하며,2
302,한적하지 않다,-2
303,한적하지 않게,-2
304,한적하지 않은,-2
305,한적하지 않고,-2
306,한적하지 않으며,-2
307,한적안한,-2
308,적합하게,1
309,적합한,1
310,적합하다,2
311,적합하고,2
312,적합하며,2
313,적합하지 않다,-2
314,적합하지 않게,-2
315,적합하지 않은,-2
316,적합하지 않고,-2
317,적합하지 않으며,-2
318,적합안한,-2
319,궁금하게,1
320,궁금한,1
321,궁금하다,2
322,궁금하고,2
323,궁금하며,2
324,궁금하지 않다,-2
325,궁금하지 않게,-2
326,궁금하지 않은,-2
327,궁금하지 않고,-2
328,궁금하지 않으며,-2
329,궁금안한,-2
330,간편하게,1
331,간편한,1
332,간편하다,2
333,간편하고,2
334,간편하며,2
335,간편하지 않다,-2
336,간편하지 않게,-2
337,간편하지 않은,-2
338,간편하지 않고,-2
339,간편하지 않으며,-2
340,간편안한,-2
341,관대하게,1
342,관대한,1
343,관대하다,2
344,관대하고,2
345,관대하며,2
346,관대하지 않다,-2
347,관대하지 않게,-2
348,관대하지 않은,-2
349,관대하지 않고,-2
350,관대하지 않으며,-2
351,관대안한,-2
352,상냥하게,1
353,상냥한,1
354,상냥하다,2
355,상냥하고,2
356,상냥하며,2
357,상냥하지 않다,-2
358,상냥하지 않게,-2
359,상냥하지 않은,-2
360,상냥하지 않고,-2
361,상냥하지 않으며,-2
362,상냥안한,-2
363,시원하게,1
364,시원한,1
365,시원하다,2
366,시원하고,2
367,시원하며,2
368,시원하지 않다,-2
369,시원하지 않게,-2
370,시원하지 않은,-2
371,시원하지 않고,-2
372,시원하지 않으며,-2
373,시원안한,-2
374,진정하게,1
375,진정한,1
376,진정하다,2
377,진정하고,2
378,진정하며,2
379,진정하지 않다,-2
380,진정하지 않게,-2
381,진정하지 않은,-2
382,진정하지 않고,-2
383,진정하지 않으며,-2
384,진정안한,-2
385,상세하게,1
386,상세한,1
387,상세하다,2
388,상세하고,2
389,상세하며,2
390,상세하지 않다,-2
391,상세하지 않게,-2
392,상세하지 않은,-2
393,상세하지 않고,-2
394,상세하지 않으며,-2
395,상세안한,-2
396,용이하게,1
397,용이한,1
398,용이하다,2
399,용이하고,2
400,용이하며,2
401,용이하지 않다,-2
402,용이하지 않게,-2
403,용이하지 않은,-2
404,용이하지 않고,-2
405,용이하지 않으며,-2
406,용이안한,-2
407,느긋하게,1
408,느긋한,1
409,느긋하다,2
410,느긋하고,2
411,느긋하며,2
412,느긋하지 않다,-2
413,느긋하지 않게,-2
414,느긋하지 않은,-2
415,느긋하지 않고,-2
416,느긋하지 않으며,-2
417,느긋안한,-2
418,세세하게,1
419,세세한,1
420,세세하다,2
421,세세하고,2
422,세세하며,2
423,세세하지 않다,-2
424,세세하지 않게,-2
425,세세하지 않은,-2
426,세세하지 않고,-2
427,세세하지 않으며,-2
428,세세안한,-2
429,사소하게,1
430,사소한,1
431,사소하다,2
432,사소하고,2
433,사소하며,2
434,사소하지 않다,-2
435,사소하지 않게,-2
436,사소하지 않은,-2
437,사소하지 않고,-2
438,사소하지 않으며,-2
439,사소안한,-2
440,복잡하게,1
441,복잡한,1
442,복잡하다,2
443,복잡하고,2
444,복잡하며,2
445,복잡하지 않다,-2
446,복잡하지 않게,-2
447,복잡하지 않은,-2
448,복잡하지 않고,-2
449,복잡하지 않으며,-2
450,복잡안한,-2
451,확실하게,1
452,확실한,1
453,확실하다,2
454,확실하고,2
455,확실하며,2
456,확실하지 않다,-2
457,확실하지 않게,-2
458,확실하지 않은,-2
459,확실하지 않고,-2
460,확실하지 않으며,-2
461,확실안한,-2
462,민감하게,1
463,민감한,1
464,민감하다,2
465,민감하고,2
466,민감하며,2
467,민감하지 않다,-2
468,민감하지 않게,-2
469,민감하지 않은,-2
470,민감하지 않고,-2
471,민감하지 않으며,-2
472,민감안한,-2
473,정확하게,1
474,정확한,1
475,정확하다,2
476,정확하고,2
477,정확하며,2
478,정확하지 않다,-2
479,정확하지 않게,-2
480,정확하지 않은,-2
481,정확하지 않고,-2
482,정확하지 않으며,-2
483,정확안한,-2
484,친근하게,1
485,친근한,1
486,친근하다,2
487,친근하고,2
488,친근하며,2
489,친근하지 않다,-2
490,친근하지 않게,-2
491,친근하지 않은,-2
492,친근하지 않고,-2
493,친근하지 않으며,-2
494,친근안한,-2
495,단단하게,1
496,단단한,1
497,단단하다,2
498,단단하고,2
499,단단하며,2
500,단단하지 않다,-2
501,단단하지 않게,-2
502,단단하지 않은,-2
503,단단하지 않고,-2
504,단단하지 않으며,-2
505,단단안한,-2
506,탁월하게,1
507,탁월한,1
508,탁월하다,2
509,탁월하고,2
510,탁월하며,2
511,탁월하지 않다,-2
512,탁월하지 않게,-2
513,탁월하지 않은,-2
514,탁월하지 않고,-2
515,탁월하지 않으며,-2
516,탁월안한,-2
517,다양하게,1
518,다양한,1
519,다양하다,2
520,다양하고,2
521,다양하며,2
522,다양하지 않다,-2
523,다양하지 않게,-2
524,다양하지 않은,-2
525,다양하지 않고,-2
526,다양하지 않으며,-2
527,다양안한,-2
528,딱딱하게,1
529,딱딱한,1
530,딱딱하다,2
531,딱딱하고,2
532,딱딱하며,2
533,딱딱하지 않다,-2
534,딱딱하지 않게,-2
535,딱딱하지 않은,-2
536,딱딱하지 않고,-2
537,딱딱하지 않으며,-2
538,딱딱안한,-2
539,비슷하게,1
540,비슷한,1
541,비슷하다,2
542,비슷하고,2
543,비슷하며,2
544,비슷하지 않다,-2
545,비슷하지 않게,-2
546,비슷하지 않은,-2
547,비슷하지 않고,-2
548,비슷하지 않으며,-2
549,비슷안한,-2
550,유쾌하게,1
551,유쾌한,1
552,유쾌하다,2
553,유쾌하고,2
554,유쾌하며,2
555,유쾌하지 않다,-2
556,유쾌하지 않게,-2
557,유쾌하지 않은,-2
558,유쾌하지 않고,-2
559,유쾌하지 않으며,-2
560,유쾌안한,-2
561,유용하게,1
562,유용한,1
563,유용하다,2
564,유용하고,2
565,유용하며,2
566,유용하지 않다,-2
567,유용하지 않게,-2
568,유용하지 않은,-2
569,유용하지 않고,-2
570,유용하지 않으며,-2
571,유용안한,-2
572,편하게,1
573,편한,1
574,편하다,2
575,편하고,2
576,편하며,2
577,편하지 않다,-2
578,편하지 않게,-2
579,편하지 않은,-2
580,편하지 않고,-2
581,편하지 않으며,-2
582,편안한,-2
583,굉장하게,1
584,굉장한,1
585,굉장하다,2
586,굉장하고,2
587,굉장하며,2
588,굉장하지 않다,-2
589,굉장하지 않게,-2
590,굉장하지 않은,-2
591,굉장하지 않고,-2
592,굉장하지 않으며,-2
593,굉장안한,-2
594,죄송하게,1
595,죄송한,1
596,죄송하다,2
597,죄송하고,2
598,죄송하며,2
599,죄송하지 않다,-2
600,죄송하지 않게,-2
601,죄송하지 않은,-2
602,죄송하지 않고,-2
603,죄송하지 않으며,-2
604,죄송안한,-2
605,귀중하게,1
606,귀중한,1
607,귀중하다,2
608,귀중하고,2
609,귀중하며,2
610,귀중하지 않다,-2
611,귀중하지 않게,-2
612,귀중하지 않은,-2
613,귀중하지 않고,-2
614,귀중하지 않으며,-2
615,귀중안한,-2
616,불쾌하게,1
617,불쾌한,1
618,불쾌하다,2
619,불쾌하고,2
620,불쾌하며,2
621,불쾌하지 않다,-2
622,불쾌하지 않게,-2
623,불쾌하지 않은,-2
624,불쾌하지 않고,-2
625,불쾌하지 않으며,-2
626,불쾌안한,-2
627,강력하게,1
628,강력한,1
629,강력하다,2
630,강력하고,2
631,강력하며,2
632,강력하지 않다,-2
633,강력하지 않게,-2
634,강력하지 않은,-2
635,강력하지 않고,-2
636,강력하지 않으며,-2
637,강력안한,-2
638,빡빡하게,1
639,빡빡한,1
640,빡빡하다,2
641,빡빡하고,2
642,빡빡하며,2
643,빡빡하지 않다,-2
644,빡빡하지 않게,-2
645,빡빡하지 않은,-2
646,빡빡하지 않고,-2
647,빡빡하지 않으며,-2
648,빡빡안한,-2
649,평범하게,1
650,평범한,1
651,평범하다,2
652,평범하고,2
653,평범하며,2
654,평범하지 않다,-2
655,평범하지 않게,-2
656,평범하지 않은,-2
657,평범하지 않고,-2
658,평범하지 않으며,-2
659,평범안한,-2
660,엄격하게,1
661,엄격한,1
662,엄격하다,2
663,엄격하고,2
664,엄격하며,2
665,엄격하지 않다,-2
